Date,stock,value,change
6/5/2007,MSFT,24.692998,-0.948329563
6/5/2007,IBM,88.218107,-3.240733787
6/5/2007,SBUX,13.09841,-1.539003589
6/5/2007,AAPL,16.229054,0.79073617
6/5/2007,GSPC,1530.949951,-0.88637424
6/6/2007,MSFT,24.458827,-2.211949903
6/6/2007,IBM,85.359193,-0.595646447
6/6/2007,SBUX,12.896825,-2.52220217
6/6/2007,AAPL,16.357383,0.347781794
6/6/2007,GSPC,1517.380005,-1.756978075
6/7/2007,MSFT,23.91781,1.45171736
6/7/2007,IBM,84.850754,1.247541065
6/7/2007,SBUX,12.571541,0.838194777
6/7/2007,AAPL,16.414271,0.338522497
6/7/2007,GSPC,1490.719971,1.137039372
6/8/2007,MSFT,24.265029,-0.099830913
6/8/2007,IBM,85.909302,0.145533716
6/8/2007,SBUX,12.676915,-0.469822508
6/8/2007,AAPL,16.469837,-3.454096115
6/8/2007,GSPC,1507.670044,0.09617164
6/11/2007,MSFT,24.240805,-0.56628895
6/11/2007,IBM,86.034329,-0.852552706
6/11/2007,SBUX,12.617356,0.726213955
6/11/2007,AAPL,15.900953,0.158084864
6/11/2007,GSPC,1509.119995,-1.068171852
6/12/2007,MSFT,24.103532,1.809041928
6/12/2007,IBM,85.300841,0.762171852
6/12/2007,SBUX,12.708985,0.108151831
6/12/2007,AAPL,15.92609,-2.392420236
6/12/2007,GSPC,1493,1.518422237
6/13/2007,MSFT,24.539575,0.42777432
6/13/2007,IBM,85.95098,0.707909322
6/13/2007,SBUX,12.72273,-0.57616565
6/13/2007,AAPL,15.545071,1.063822738
6/13/2007,GSPC,1515.670044,0.481630354
6/14/2007,MSFT,24.644549,-0.098297599
6/14/2007,IBM,86.559435,1.194026971
6/14/2007,SBUX,12.649426,0.579504556
6/14/2007,AAPL,15.710443,1.473682187
6/14/2007,GSPC,1522.969971,0.652676231
6/15/2007,MSFT,24.620324,0.065596212
6/15/2007,IBM,87.592978,0.228381321
6/15/2007,SBUX,12.72273,-0.396117814
6/15/2007,AAPL,15.941965,3.809135198
6/15/2007,GSPC,1532.910034,-0.121336866
6/18/2007,MSFT,24.636474,-0.16388303
6/18/2007,IBM,87.793024,1.110793268
6/18/2007,SBUX,12.672333,-0.253071001
6/18/2007,AAPL,16.549216,-1.143178021
6/18/2007,GSPC,1531.050049,0.173077425
6/19/2007,MSFT,24.596099,-1.477344029
6/19/2007,IBM,88.768223,-0.469484446
6/19/2007,SBUX,12.640263,-0.978618878
6/19/2007,AAPL,16.360029,-1.706286706
6/19/2007,GSPC,1533.699951,-1.360108604
6/20/2007,MSFT,24.23273,0.699764327
6/20/2007,IBM,88.35147,0.566036988
6/20/2007,SBUX,12.516563,-3.879938926
6/20/2007,AAPL,16.08088,1.933358125
6/20/2007,GSPC,1512.839966,0.618041248
6/21/2007,MSFT,24.402302,-2.415616363
6/21/2007,IBM,88.851572,-2.026262405
6/21/2007,SBUX,12.030928,-2.741808446
6/21/2007,AAPL,16.391781,-0.726394527
6/21/2007,GSPC,1522.189941,-1.28958164
6/22/2007,MSFT,23.812836,0
6/22/2007,IBM,87.051206,0.631937253
6/22/2007,SBUX,11.701063,0.469846201
6/22/2007,AAPL,16.272712,-0.536591565
